No.,Name,Surname,Institute ,Status ,Scopus ID,,
1,Norraphat,Srimanobhas,Chulalongkorn University,Faculty,57219170016,,
2,Auttakit,Chatrabhuti,Chulalongkorn University,Faculty,15833988500,,
3,Khamphee,Karwan ,Naresuan University,Faculty,9943032800,,
4,Petarpa,Boonserm ,Chulalongkorn University,Faculty,8521500100,,
5,Daris ,Samart,Khon Kaen University,Faculty,19638898500,,
6,Phongpichit,Channuie,Walailak University,Faculty,12799829100,,
7,Tritos,Ngampitipan,Chandrakasem Rajabhat University,Faculty,54420796600,,
8,Patipan,Uttayarat,Srinakharinwirot University,Faculty,35095602200,,
9,Chakrit,Pongkitivanichkul ,Khon Kaen University,Faculty,56538577000,,
10,Pawin,Ittisamai ,Chulalongkorn University,Faculty,54881243600,,
11,Kem,Pumsa-ard ,Srinakharinwirot University,Faculty,56632600600,,
12,Nopmanee,Supanam,Srinakharinwirot University,Faculty,16647355200,,
13,Pitayuth,Wongjun ,Naresuan University,Faculty,35095860900,,
14,Ekapong,Hirunsirisawat ,King Mongkut's University of Technology Thonburi,Faculty,26664749700,,
15,Supakchai,Ponglertsakul ,Silpakorn University,Faculty,57038995600,,
16,Lunchakorn,Tannukij ,King Mongkut's Institute of Technology Ladkrabang,Faculty,56674622400,,
17,Narakorn,Kaewkhao ,Prince of Songkla University,Faculty,57195416908,,
18,Narumon,Suwonjandee,Chulalongkorn University,Faculty,6603092466,,
19,Kritsada ,Kittimanapun,Synchrotron Light Research Institute,Faculty,36623862400,,
20,Chinorat,Kobdaj,Suranaree University of Technology,Faculty,57194221209,,
21,Wanchaloem,Poonsawat,Rajamangala University of Technology Isan,Faculty,36144542900,,
22,Narongrit,Ritjoho,Suranaree University of Technology,Faculty,57204908345,,
23,Natthawut,Laojamnongwong,Suranaree University of Technology,Faculty,57208127934,,
24,Chayanit,Asawatangtrakuldee,Chulalongkorn University,Faculty,35145475500,,
25,Yupeng,Yan,Suranaree University of Technology,Faculty,7404585672,,
26,Ayut,Limphirat,Suranaree University of Technology,Faculty,26644137200,,
27,Khanchai,Khosonthongkee,Suranaree University of Technology,Faculty,6507859544,,
28,Warintorn,Sreethawong,Suranaree University of Technology,Faculty,35095716900,,
29,Christoph,Herold,Suranaree University of Technology,Faculty,49361448800,,
30,Poemwai,Chainakun ,Suranaree University of Technology,Faculty,54683580600,,
31,Tirawut,Worrakitpoonpon ,Suranaree University of Technology,Faculty,36683783600,,
32,Pornrad,Srisawad ,Naresuan University,Faculty,6505469679,,
33,Sorakrai,Srisuphaphon ,Burapha University,Faculty,54380959700,,
34,Attaphon,Kaewsnod ,Suranaree University of Technology,Faculty,57148153400,,
35,Utane,Sawangwit,"National Astronomical Research Institute of Thailand,",Faculty,34168288500,,
36,Apimook,Watcharangkool ,"National Astronomical Research Institute of Thailand,",Faculty,56593216400,,
38,Oleg,Evnin,Chulalongkorn University,Postdoc researcher,15761759100,,
39,Hiroshi,Isono,Chulalongkorn University,Postdoc researcher,56622541100,,
40,Yvonne,Geyer,Chulalongkorn University,Postdoc researcher,56368573400,,
41,Spyros,Sypsas,Chulalongkorn University,Postdoc researcher,36657631900,,
42,Yermek,Aldabergenov,Chulalongkorn University,Postdoc researcher,56743280800,,
43,Sakhorn,Rimjaem,Chiang Mai University,Faculty,8858670400,,
